csvbase_row_id,Datum,Förmiddag / Eftermiddag,Skola / Grupp,Klass,Art,Element,Del,Sida,Region,Antal fragment,Vikt (g),Mĺtt (mm),Fusionering,Tandslitage ,Ĺlder,Kön,Weathering,Trampling,Gnag,Eldpĺverkan,Slaktspĺr,Bearbetning,Patologi,Kommentar,Övrigt,col26
4737,2025-09-02,FM,Ludvigsborgsskolan,,Nötkreatur (Bos taurus),Costa,Corpus,,Bĺl,1,"19,2",,,,,,,,,Y,C,,,Gulbränt revbensfragment frĺn nötkreatur. Skärspĺr,,4737
4738,2025-09-02,EM,Enebackaskolan,5A+B,Däggdjur (Mammalia),Obestämd,,,Okänd,2,"1,8",,,,,,,,,B,,,,"Svartbrända fragment, okänd art",,4738
4739,2025-09-02,EM,Enebackaskolan,5A+B,Däggdjur (Mammalia),Obestämd,,,Okänd,3,"0,6",,,,,,,,,G,,,,"Grĺvitbrända fragment, okänd art",,4739
4740,2025-09-02,EM,Enebackaskolan,5A+B,Däggdjur (Mammalia),Os longum,Diafys,,Okänd,1,"0,8",,,,,,,,,W,,,,"Vitbränt rörbensfragment, okänd art",,4740
4741,2025-09-02,EM,Enebackaskolan,5A+B,Däggdjur (Mammalia),Costa,Corpus,,Bĺl,2,"2,3",,,,,,,,,,,,,Obestämbara revbensfragment,,4741
4742,2025-09-02,EM,Enebackaskolan,5A+B,Däggdjur (Mammalia),Costa,Corpus,,Bĺl,1,2,,,,,,,Ja,,,,,,Obestämbart revbensfragment,,4742
4743,2025-09-02,EM,Enebackaskolan,5A+B,Däggdjur (Mammalia),Dens,,,Tänder,1,"0,2",,,,,,,,,B,,,,"Svartbränt tandfragment, okänd art",,4743
4744,2025-09-02,EM,Enebackaskolan,5A+B,Fĺr/get (Ovis/capra),Dens,Incisive,,Tänder,1,"0,1",,,,,,,,,,,,,Framtandsfragment frĺn fĺr/get,,4744
4745,2025-09-02,EM,Enebackaskolan,5A+B,Däggdjur (Mammalia),Dentes,,,Tänder,2,"0,2",,,,,,,,,,,,,Obestämbara tandfragment,,4745
4746,2025-09-03,FM,Snapphaneskolan,5A+B,Däggdjur (Mammalia),Obestämd,,,Okänd,4,"0,9",,,,,,,,,B,,,,"Svartbrända fragment, okänd art",,4746
4747,2025-09-03,FM,Snapphaneskolan,5A+B,Däggdjur (Mammalia),Obestämd,,,Okänd,2,"0,1",,,,,,,,,G,,,,"Grĺvitbrända fragment, okänd art",,4747
4748,2025-09-03,FM,Snapphaneskolan,5A+B,Däggdjur (Mammalia),Obestämd,,,Okänd,1,"0,4",,,,,,,,,W,,,,"Vitbränt fragment, okänd art",,4748
4749,2025-09-03,FM,Snapphaneskolan,5A+B,Däggdjur (Mammalia),Obestämd,,,Okänd,1,"1,1",,,,,,,,,W,,,,"Vitbränt fragment, okänd art. Blĺ missfärgning",,4749
4750,2025-09-03,FM,Snapphaneskolan,5A+B,Idisslare (Ruminantia),Dentes,,,Tänder,2,"0,9",,,,,,,,,,,,,Tandfragment frĺn idisslare,,4750
4751,2025-09-03,FM,Snapphaneskolan,5A+B,Fĺr/get (Ovis/capra),Dens,M,,Tänder,1,"0,1",,,,,,,,,,,,,Molarfragment frĺn fĺr/get,,4751
4752,2025-09-03,FM,Snapphaneskolan,5A+B,Däggdjur (Mammalia),Dens,,,Tänder,1,"0,1",,,,,,,,,,,,,Obestämbart tandfragment,,4752
4753,2025-09-03,FM,Snapphaneskolan,5A+B,Däggdjur (Mammalia),Os longum,Diafys,,Okänd,1,"0,4",,,,,,,,,,C,,,Rörbensfragment med skärspĺr,,4753
4754,2025-09-03,FM,Snapphaneskolan,5A+B,Sork (Microtus),"Mandibula, dens","Corpus, incisive, alveoli dentale",Dexter,Huvud,1,"0,1",,,,,,,,,,,,,Höger underkäke frĺn sork,,4754
4755,2025-09-03,FM,Snapphaneskolan,5A+B,Fĺgel (Aves),Os longum,Diafys,,Okänd,1,"<0,1",,,,,,,,,,,,,Rörbensfragment frĺn fĺgel,,4755
4756,2025-09-04,FM,Prästavĺngsskolan,5A+B,Fĺgel (Aves),Obestämd,,,Okänd,2,"0,3",,,,,,,,,,,,,Obestämbara fĺgelben,,4756
4757,2025-09-04,FM,Prästavĺngsskolan,5A+B,Däggdjur (Mammalia),Dentes,,,Okänd,2,"0,1",,,,,,,,,,,,,Obestämbara tandfragment,,4757
4758,2025-09-04,FM,Prästavĺngsskolan,5A+B,Nötkreatur (Bos taurus),Dens,M,,Tänder,1,"5,1",,,,,,,,,,,,,Molarfragment frĺn nötkreatur,,4758
4759,2025-09-04,FM,Prästavĺngsskolan,5A+B,Däggdjur (Mammalia),Os longum,Diafys,,Huvud,1,"13,2",,,,,,,Ja,,,M,,,"Obestämbart rörbensfragment, troligen nötkreatur. Märgspaltad",,4759
4760,2025-09-04,FM,Prästavĺngsskolan,5A+B,Däggdjur (Mammalia),Vertebra,Corpus,,Bĺl,1,"5,8",,U,,,,,,,,H,,,"Kotfragment frĺn större ung djur, troligen nötkreatur. Kapad",,4760
4761,2025-09-04,FM,Prästavĺngsskolan,5A+B,Däggdjur (Mammalia),Os longum,Diafys,,Okänd,1,"1,1",,,,,,,,,R,,,,"Röbrunbränt rörbensfragment, okänd art",,4761
4762,2025-09-04,FM,Prästavĺngsskolan,5A+B,Däggdjur (Mammalia),Os longum,Diafys,,Okänd,4,1,,,,,,,,,B,,,,"Svartbrända rörbensfragment, okänd art",,4762
4763,2025-09-04,FM,Prästavĺngsskolan,5A+B,Däggdjur (Mammalia),Obestämd,,,Okänd,1,"0,1",,,,,,,,,B,,,,"Svartblĺbränt fragment, okänd art",,4763
4764,2025-09-04,FM,Prästavĺngsskolan,5A+B,Däggdjur (Mammalia),Vertebra,Corpus,,Bĺl,1,"0,4",,U,,,,,,,B,,,,"Svartbränt kotfragment frĺn ung, mindre djur. Kanske lamm eller spädgris",,4764
4765,2025-09-04,FM,Prästavĺngsskolan,5A+B,Däggdjur (Mammalia),Os longum,Diafys,,Okänd,2,"0,2",,,,,,,,,G,,,,"Grĺvitbrända rörbensfragment, okänd art",,4765
4766,2025-09-04,FM,Prästavĺngsskolan,5A+B,Däggdjur (Mammalia),Obestämd,,,Okänd,7,"1,6",,,,,,,,,G,,,,"Grĺvitbrända fragment, okänd art",,4766
4767,2025-09-04,FM,Prästavĺngsskolan,5A+B,Däggdjur (Mammalia),Os longum,Diafys,,Okänd,3,"0,5",,,,,,,,,W,,,,"Vitbrända rörbensfragment, okänd art",,4767
4768,2025-09-04,FM,Prästavĺngsskolan,5A+B,Däggdjur (Mammalia),Obestämd,,,Okänd,3,"0,8",,,,,,,,,W,,,,"Vitbrända fragment, okänd art",,4768
4769,2025-09-08,FM,Ljungenskolan,5A+B,Däggdjur (Mammalia),Mandibula,Corpus,,Huvud,1,"7,4",,,,,,,,,,,,,"Käkbensfragment frĺn större djur, troligen nötkreatur eller svin",,4769
4770,2025-09-08,FM,Ljungenskolan,5A+B,Fisk (Pisces),Obestämd,,,Okänd,1,"0,1",,,,,,,,,,,,,Obestämbart fiskbensfragment,,4770
4771,2025-09-08,FM,Ljungenskolan,5A+B,Däggdjur (Mammalia),Dentes,,,Tänder,2,"0,3",,,,,,,,,,,,,Obestämbara tandfragment,,4771
4772,2025-09-08,FM,Ljungenskolan,5A+B,Idisslare (Ruminantia),Dens,,,Tänder,1,"0,8",,,,,,,,,,,,,Tandfragment frĺn idisslare,,4772
4773,2025-09-08,FM,Ljungenskolan,5A+B,Svin (Sus sp.),Dens,M,,Tänder,1,"0,9",,,Inget slitage,,,,,,,,,,"Svinmolarfragment, inget slitage ej frambrutit",,4773
4774,2025-09-08,FM,Ljungenskolan,5A+B,Däggdjur (Mammalia),Costa,Corpus,,Bĺl,1,"1,4",,,,,,1,,Möjlig hund,,,,,"Revbensfragment frĺn okänd art. Mellanstort däggdjur, troligen fĺr/get. Möjligt hundgnagspĺr",,4774
4775,2025-09-08,FM,Ljungenskolan,5A+B,Däggdjur (Mammalia),Obestämd,,,Okänd,2,"0,2",,,,,,,,,B,,,,"Svartbrända fragment, okänd art",,4775
4776,2025-09-08,FM,Ljungenskolan,5A+B,Däggdjur (Mammalia),Obestämd,,,Okänd,4,"0,8",,,,,,,,,G,,,,"Grĺvitbrända fragment, okänd art",,4776
4777,2025-09-08,EM,Lejonskolan,5A+B,Däggdjur (Mammalia),Obestämd,,,Okänd,2,"0,8",,,,,,,,,B,,,,"Svartbrända fragment, okänd art",,4777
4778,2025-09-08,EM,Lejonskolan,5A+B,Däggdjur (Mammalia),Os longum,Diafys,,Okänd,1,"1,4",,,,,,,,,B,,,,"Svartbränt rörbensfragment, okänd art",,4778
4779,2025-09-08,EM,Lejonskolan,5A+B,Däggdjur (Mammalia),Obestämd,,,Okänd,2,"1,3",,,,,,,,,G,,,,"Grĺvitbrända fragment, okänd art",,4779
4780,2025-09-08,EM,Lejonskolan,5A+B,Däggdjur (Mammalia),Obestämd,,,Okänd,1,"0,2",,,,,,,,,W,,,,"Vitbränt fragment, okänd art",,4780
4781,2025-09-08,EM,Lejonskolan,5A+B,Däggdjur (Mammalia),Metapod,Diafys,,Nedre extremitet,1,"2,8",,,,,,,,,,,,,Fragment av mellanhands/fotben frĺn hovdjur. Med största sannolikhet fĺr/get men kan ej bekräfta,,4781
4782,2025-09-08,EM,Lejonskolan,5A+B,Däggdjur (Mammalia),Cranium,,,Huvud,1,2,,,,,,,,,,,,,"Kraniefragment, okänd art",,4782
4783,2025-09-08,EM,Lejonskolan,5A+B,Svin (Sus sp.),Dens,M,,Tänder,1,"0,8",,,,,,,,,,,,,Svinmolarfragment,,4783
4784,2025-09-08,EM,Lejonskolan,5A+B,Däggdjur (Mammalia),Dens,,,Tänder,1,"0,3",,,,,,,,,,,,,Obestämbart tandfragment,,4784
4785,2025-09-09,FM,Finjasjöskolan,Blĺ+Grön,Däggdjur (Mammalia),Obestämd,,,Okänd,4,"0,5",,,,,,,,,W,,,,"Vitbrända fragment, okänd art",,4785
4786,2025-09-09,FM,Finjasjöskolan,Blĺ+Grön,Däggdjur (Mammalia),Costa,Corpus,,Bĺl,1,"0,7",,,,,,,,,W,,,,"Vitbränt revbensfragment, okänd art",,4786
4787,2025-09-09,FM,Finjasjöskolan,Blĺ+Grön,Däggdjur (Mammalia),Costa,Corpus,,Bĺl,1,"1,8",,,,,,,,,,,,,Obestämbart revbensfragment,,4787
4788,2025-09-09,FM,Finjasjöskolan,Blĺ+Grön,Nötkreatur (Bos taurus),Patella,Komplett,Sinister,Övre extremitet,1,"28,2",,,,,,,,,,,,,Vänster knĺskĺl frĺn nötkreatur,,4788
4789,2025-09-09,FM,Finjasjöskolan,Blĺ+Grön,Däggdjur (Mammalia),Cranium,,,Huvud,1,"6,7",,,,,,,,,,,,,Kraniefragment frĺn okänd art,,4789
